Vertex Num,Start Time,End Time,Total Intensity Received [J/m2],Diffuse Intensity Received [J/m2],Direct Intensity Received [J/m2],Reflected Intensity Received [J/m2],Total Intensity Received [%ambiant],Diffuse Intensity Received [%ambiant],Direct Intensity Received [%ambiant],Reflected Intensity Received [%ambiant]
32,10/26/14 00:00:00,10/26/14 23:58:00,5.867109E+002,5.620811E+002,2.354600E+001,1.083779E+000,3.311018E+007,1.#INF00E+000,1.#INF00E+000,6.116150E+004
33,10/26/14 00:00:00,10/26/14 23:58:00,5.278227E+002,4.938893E+002,3.143060E+001,2.502767E+000,2.978691E+007,1.#INF00E+000,1.#INF00E+000,1.412400E+005
34,10/26/14 00:00:00,10/26/14 23:58:00,4.701747E+002,4.317404E+002,3.463446E+001,3.799841E+000,2.653363E+007,1.#INF00E+000,1.#INF00E+000,2.144385E+005
35,10/26/14 00:00:00,10/26/14 23:58:00,4.014903E+002,3.626387E+002,3.361601E+001,5.235598E+000,2.265752E+007,1.#INF00E+000,1.#INF00E+000,2.954634E+005
36,10/26/14 00:00:00,10/26/14 23:58:00,5.894915E+002,5.692831E+002,1.927383E+001,9.345734E-001,3.326710E+007,1.#INF00E+000,1.#INF00E+000,5.274130E+004
37,10/26/14 00:00:00,10/26/14 23:58:00,6.173499E+002,5.921836E+002,2.470869E+001,4.575784E-001,3.483925E+007,1.#INF00E+000,1.#INF00E+000,2.582278E+004
38,10/26/14 00:00:00,10/26/14 23:58:00,6.088349E+002,5.731599E+002,3.482075E+001,8.542268E-001,3.435872E+007,1.#INF00E+000,1.#INF00E+000,4.820705E+004
39,10/26/14 00:00:00,10/26/14 23:58:00,5.575810E+002,5.153887E+002,4.013628E+001,2.056031E+000,3.146628E+007,1.#INF00E+000,1.#INF00E+000,1.160291E+005
40,10/26/14 00:00:00,10/26/14 23:58:00,4.913006E+002,4.477532E+002,4.008302E+001,3.464378E+000,2.772584E+007,1.#INF00E+000,1.#INF00E+000,1.955072E+005
41,10/26/14 00:00:00,10/26/14 23:58:00,3.989200E+002,3.567014E+002,3.687142E+001,5.347145E+000,2.251248E+007,1.#INF00E+000,1.#INF00E+000,3.017584E+005
42,10/26/14 00:00:00,10/26/14 23:58:00,4.076763E+002,3.845285E+002,1.860557E+001,4.542194E+000,2.300662E+007,1.#INF00E+000,1.#INF00E+000,2.563322E+005
43,10/26/14 00:00:00,10/26/14 23:58:00,4.568368E+002,4.275935E+002,2.544919E+001,3.794106E+000,2.578093E+007,1.#INF00E+000,1.#INF00E+000,2.141149E+005
44,10/26/14 00:00:00,10/26/14 23:58:00,4.827348E+002,4.431741E+002,3.600916E+001,3.551604E+000,2.724244E+007,1.#INF00E+000,1.#INF00E+000,2.004297E+005
45,10/26/14 00:00:00,10/26/14 23:58:00,4.404528E+002,3.949761E+002,4.092556E+001,4.551053E+000,2.485632E+007,1.#INF00E+000,1.#INF00E+000,2.568321E+005
46,10/26/14 00:00:00,10/26/14 23:58:00,4.076428E+002,3.609613E+002,4.141269E+001,5.268803E+000,2.300473E+007,1.#INF00E+000,1.#INF00E+000,2.973373E+005
47,10/26/14 00:00:00,10/26/14 23:58:00,3.634704E+002,3.212659E+002,3.611275E+001,6.091726E+000,2.051193E+007,1.#INF00E+000,1.#INF00E+000,3.437778E+005
48,10/26/14 00:00:00,10/26/14 23:58:00,1.587497E+002,1.506354E+002,1.044447E-001,8.009850E+000,8.958810E+006,1.#INF00E+000,1.#INF00E+000,4.520243E+005
49,10/26/14 00:00:00,10/26/14 23:58:00,1.943230E+002,1.864210E+002,3.224283E-001,7.579583E+000,1.096634E+007,1.#INF00E+000,1.#INF00E+000,4.277428E+005
50,10/26/14 00:00:00,10/26/14 23:58:00,2.391178E+002,2.284962E+002,3.340118E+000,7.281475E+000,1.349427E+007,1.#INF00E+000,1.#INF00E+000,4.109195E+005
51,10/26/14 00:00:00,10/26/14 23:58:00,2.137666E+002,1.992336E+002,6.583249E+000,7.949685E+000,1.206361E+007,1.#INF00E+000,1.#INF00E+000,4.486290E+005
52,10/26/14 00:00:00,10/26/14 23:58:00,2.421978E+002,2.179676E+002,1.637705E+001,7.853140E+000,1.366808E+007,1.#INF00E+000,1.#INF00E+000,4.431806E+005
53,10/26/14 00:00:00,10/26/14 23:58:00,3.208114E+002,2.847312E+002,2.925978E+001,6.820383E+000,1.810453E+007,1.#INF00E+000,1.#INF00E+000,3.848985E+005
54,10/26/14 00:00:00,10/26/14 23:58:00,2.522967E+001,1.550549E+001,8.698347E-004,9.723311E+000,1.423800E+006,1.#INF00E+000,1.#INF00E+000,5.487211E+005
55,10/26/14 00:00:00,10/26/14 23:58:00,3.231381E+001,2.258499E+001,1.001329E-002,9.718805E+000,1.823583E+006,1.#INF00E+000,1.#INF00E+000,5.484668E+005
56,10/26/14 00:00:00,10/26/14 23:58:00,6.042464E+001,5.054544E+001,1.431603E-001,9.736035E+000,3.409977E+006,1.#INF00E+000,1.#INF00E+000,5.494391E+005
57,10/26/14 00:00:00,10/26/14 23:58:00,1.276394E+002,1.100659E+002,8.281719E+000,9.291790E+000,7.203145E+006,1.#INF00E+000,1.#INF00E+000,5.243688E+005
58,10/26/14 00:00:00,10/26/14 23:58:00,2.015979E+002,1.742247E+002,1.878395E+001,8.589247E+000,1.137689E+007,1.#INF00E+000,1.#INF00E+000,4.847217E+005
59,10/26/14 00:00:00,10/26/14 23:58:00,2.606393E+002,2.259052E+002,2.690718E+001,7.826898E+000,1.470880E+007,1.#INF00E+000,1.#INF00E+000,4.416997E+005
60,10/26/14 00:00:00,10/26/14 23:58:00,5.699073E+001,4.726908E+001,2.194368E-001,9.502213E+000,3.216190E+006,1.#INF00E+000,1.#INF00E+000,5.362436E+005
61,10/26/14 00:00:00,10/26/14 23:58:00,3.222018E+001,2.218787E+001,2.173783E-001,9.814940E+000,1.818300E+006,1.#INF00E+000,1.#INF00E+000,5.538920E+005
62,10/26/14 00:00:00,10/26/14 23:58:00,5.132870E+001,3.709103E+001,4.209204E+000,1.002846E+001,2.896661E+006,1.#INF00E+000,1.#INF00E+000,5.659417E+005
63,10/26/14 00:00:00,10/26/14 23:58:00,1.125821E+002,8.891025E+001,1.398420E+001,9.687647E+000,6.353408E+006,1.#INF00E+000,1.#INF00E+000,5.467084E+005
64,10/26/14 00:00:00,10/26/14 23:58:00,1.841513E+002,1.533504E+002,2.193675E+001,8.864084E+000,1.039231E+007,1.#INF00E+000,1.#INF00E+000,5.002318E+005
65,10/26/14 00:00:00,10/26/14 23:58:00,2.989820E+002,2.592496E+002,3.246112E+001,7.271285E+000,1.687262E+007,1.#INF00E+000,1.#INF00E+000,4.103445E+005
66,10/26/14 00:00:00,10/26/14 23:58:00,2.505830E+002,2.319788E+002,1.132145E+001,7.282780E+000,1.414129E+007,1.#INF00E+000,1.#INF00E+000,4.109932E+005
67,10/26/14 00:00:00,10/26/14 23:58:00,2.071480E+002,1.855209E+002,1.360010E+001,8.027028E+000,1.169010E+007,1.#INF00E+000,1.#INF00E+000,4.529938E+005
68,10/26/14 00:00:00,10/26/14 23:58:00,1.938651E+002,1.659322E+002,1.950125E+001,8.431590E+000,1.094050E+007,1.#INF00E+000,1.#INF00E+000,4.758246E+005
69,10/26/14 00:00:00,10/26/14 23:58:00,2.477874E+002,2.102964E+002,2.952741E+001,7.963536E+000,1.398352E+007,1.#INF00E+000,1.#INF00E+000,4.494107E+005
70,10/26/14 00:00:00,10/26/14 23:58:00,2.824624E+002,2.408447E+002,3.406398E+001,7.553751E+000,1.594036E+007,1.#INF00E+000,1.#INF00E+000,4.262851E+005
71,10/26/14 00:00:00,10/26/14 23:58:00,3.385765E+002,2.969004E+002,3.509064E+001,6.585434E+000,1.910708E+007,1.#INF00E+000,1.#INF00E+000,3.716394E+005
72,10/26/14 00:00:00,10/26/14 23:58:00,4.893831E+002,4.668776E+002,1.943921E+001,3.066242E+000,2.761763E+007,1.#INF00E+000,1.#INF00E+000,1.730390E+005
73,10/26/14 00:00:00,10/26/14 23:58:00,4.335272E+002,4.062133E+002,2.302003E+001,4.293830E+000,2.446548E+007,1.#INF00E+000,1.#INF00E+000,2.423161E+005
74,10/26/14 00:00:00,10/26/14 23:58:00,4.460856E+002,4.071122E+002,3.467039E+001,4.303047E+000,2.517420E+007,1.#INF00E+000,1.#INF00E+000,2.428362E+005
