Start Time,End Time,Total Intensity Measured [J/m2],Diffuse Intensity Measured [J/m2],Direct Intensity Measured [J/m2],Reflected Intensity Measured [J/m2],Total Intensity Calculated [J/m2],Diffuse Intensity Calculated [J/m2],Direct Intensity Calculated [J/m2],Reflected Intensity Calculated [J/m2],Total Intensity Difference [%],Diffuse Intensity Difference [%],Direct Intensity Difference [%],Reflected Intensity Difference [%]
10/26/14 00:00:00,10/26/14 00:00:00,3.542400E-003,0.000000E+000,-0.000000E+000,3.542400E-003,3.543992E-003,0.000000E+000,0.000000E+000,3.543992E-003,4.494655E-002,0.000000E+000,0.000000E+000,4.494655E-002
10/26/14 00:01:00,10/26/14 00:01:00,3.542400E-003,0.000000E+000,-0.000000E+000,3.542400E-003,3.543991E-003,0.000000E+000,0.000000E+000,3.543991E-003,4.490456E-002,0.000000E+000,0.000000E+000,4.490456E-002
10/26/14 00:02:00,10/26/14 00:02:00,3.542400E-003,0.000000E+000,-0.000000E+000,3.542400E-003,3.543991E-003,0.000000E+000,0.000000E+000,3.543991E-003,4.490456E-002,0.000000E+000,0.000000E+000,4.490456E-002
10/26/14 00:03:00,10/26/14 00:03:00,3.542400E-003,0.000000E+000,-0.000000E+000,3.542400E-003,3.543991E-003,0.000000E+000,0.000000E+000,3.543991E-003,4.490456E-002,0.000000E+000,0.000000E+000,4.490456E-002
10/26/14 00:04:00,10/26/14 00:04:00,3.542400E-003,0.000000E+000,-0.000000E+000,3.542400E-003,3.543991E-003,0.000000E+000,0.000000E+000,3.543991E-003,4.490456E-002,0.000000E+000,0.000000E+000,4.490456E-002
10/26/14 00:05:00,10/26/14 00:05:00,3.542400E-003,0.000000E+000,-0.000000E+000,3.542400E-003,3.543991E-003,0.000000E+000,0.000000E+000,3.543991E-003,4.490456E-002,0.000000E+000,0.000000E+000,4.490456E-002
10/26/14 00:06:00,10/26/14 00:06:00,3.542400E-003,0.000000E+000,-0.000000E+000,3.542400E-003,3.543991E-003,0.000000E+000,0.000000E+000,3.543991E-003,4.490456E-002,0.000000E+000,0.000000E+000,4.490456E-002
10/26/14 00:07:00,10/26/14 00:07:00,3.542400E-003,0.000000E+000,-0.000000E+000,3.542400E-003,3.543991E-003,0.000000E+000,0.000000E+000,3.543991E-003,4.490456E-002,0.000000E+000,0.000000E+000,4.490456E-002
10/26/14 00:08:00,10/26/14 00:08:00,3.542400E-003,0.000000E+000,-0.000000E+000,3.542400E-003,3.543991E-003,0.000000E+000,0.000000E+000,3.543991E-003,4.490456E-002,0.000000E+000,0.000000E+000,4.490456E-002
10/26/14 00:09:00,10/26/14 00:09:00,3.542400E-003,0.000000E+000,-0.000000E+000,3.542400E-003,3.543991E-003,0.000000E+000,0.000000E+000,3.543991E-003,4.490456E-002,0.000000E+000,0.000000E+000,4.490456E-002
10/26/14 00:10:00,10/26/14 00:10:00,3.542400E-003,0.000000E+000,-0.000000E+000,3.542400E-003,3.543991E-003,0.000000E+000,0.000000E+000,3.543991E-003,4.490456E-002,0.000000E+000,0.000000E+000,4.490456E-002
10/26/14 00:11:00,10/26/14 00:11:00,3.542400E-003,0.000000E+000,-0.000000E+000,3.542400E-003,3.543991E-003,0.000000E+000,0.000000E+000,3.543991E-003,4.490456E-002,0.000000E+000,0.000000E+000,4.490456E-002
10/26/14 00:12:00,10/26/14 00:12:00,3.542400E-003,0.000000E+000,-0.000000E+000,3.542400E-003,3.543991E-003,0.000000E+000,0.000000E+000,3.543991E-003,4.490456E-002,0.000000E+000,0.000000E+000,4.490456E-002
