Vertex Num,Start Time,End Time,Total Intensity Received [J/m2],Diffuse Intensity Received [J/m2],Direct Intensity Received [J/m2],Reflected Intensity Received [J/m2],Total Intensity Received [%ambiant],Diffuse Intensity Received [%ambiant],Direct Intensity Received [%ambiant],Reflected Intensity Received [%ambiant]
33,04/09/14 10:01:00,04/09/14 11:00:00,4.632191E+002,1.968785E+002,2.659520E+002,3.886541E-001,6.090357E+003,5.177322E+003,7.139928E+003,4.969038E+002
34,04/09/14 10:01:00,04/09/14 11:00:00,4.526432E+002,1.832808E+002,2.686994E+002,6.629891E-001,5.951306E+003,4.819743E+003,7.213687E+003,8.476478E+002
35,04/09/14 10:01:00,04/09/14 11:00:00,4.174698E+002,1.620450E+002,2.543539E+002,1.070956E+000,5.488849E+003,4.261303E+003,6.828558E+003,1.369243E+003
36,04/09/14 10:01:00,04/09/14 11:00:00,2.491347E+002,1.918090E+002,5.683440E+001,4.913601E-001,3.275597E+003,5.044008E+003,1.525815E+003,6.282160E+002
37,04/09/14 10:01:00,04/09/14 11:00:00,3.205917E+002,2.052896E+002,1.150843E+002,2.179330E-001,4.215106E+003,5.398508E+003,3.089630E+003,2.786328E+002
38,04/09/14 10:01:00,04/09/14 11:00:00,4.010958E+002,2.116167E+002,1.893896E+002,8.954979E-002,5.273566E+003,5.564892E+003,5.084483E+003,1.144916E+002
39,04/09/14 10:01:00,04/09/14 11:00:00,4.449398E+002,2.039936E+002,2.407014E+002,2.448563E-001,5.850022E+003,5.364427E+003,6.462034E+003,3.130548E+002
40,04/09/14 10:01:00,04/09/14 11:00:00,4.478371E+002,1.892831E+002,2.580119E+002,5.420967E-001,5.888115E+003,4.977585E+003,6.926763E+003,6.930840E+002
41,04/09/14 10:01:00,04/09/14 11:00:00,4.112235E+002,1.630273E+002,2.471389E+002,1.057276E+000,5.406724E+003,4.287136E+003,6.634859E+003,1.351754E+003
42,04/09/14 10:01:00,04/09/14 11:00:00,1.341742E+002,1.325898E+002,0.000000E+000,1.584359E+000,1.764108E+003,3.486719E+003,0.000000E+000,2.025642E+003
43,04/09/14 10:01:00,04/09/14 11:00:00,1.695550E+002,1.530083E+002,1.530556E+001,1.241068E+000,2.229291E+003,4.023667E+003,4.109034E+002,1.586736E+003
44,04/09/14 10:01:00,04/09/14 11:00:00,2.736784E+002,1.704971E+002,1.022628E+002,9.185891E-001,3.598295E+003,4.483568E+003,2.745417E+003,1.174439E+003
45,04/09/14 10:01:00,04/09/14 11:00:00,3.205414E+002,1.645177E+002,1.549926E+002,1.031127E+000,4.214445E+003,4.326330E+003,4.161035E+003,1.318321E+003
46,04/09/14 10:01:00,04/09/14 11:00:00,3.601822E+002,1.600685E+002,1.989978E+002,1.115902E+000,4.735638E+003,4.209329E+003,5.342429E+003,1.426709E+003
47,04/09/14 10:01:00,04/09/14 11:00:00,3.771863E+002,1.487389E+002,2.271262E+002,1.321251E+000,4.959206E+003,3.911393E+003,6.097583E+003,1.689252E+003
48,04/09/14 10:01:00,04/09/14 11:00:00,5.459626E+001,5.206565E+001,5.300421E-003,2.525312E+000,7.178259E+002,1.369172E+003,1.422987E-001,3.228673E+003
49,04/09/14 10:01:00,04/09/14 11:00:00,1.055754E+002,7.128927E+001,3.195483E+001,2.331259E+000,1.388094E+003,1.874697E+003,8.578810E+002,2.980572E+003
50,04/09/14 10:01:00,04/09/14 11:00:00,2.269111E+002,9.855373E+001,1.263351E+002,2.022214E+000,2.983403E+003,2.591671E+003,3.391678E+003,2.585451E+003
51,04/09/14 10:01:00,04/09/14 11:00:00,2.581932E+002,9.879522E+001,1.573712E+002,2.026850E+000,3.394698E+003,2.598022E+003,4.224893E+003,2.591377E+003
52,04/09/14 10:01:00,04/09/14 11:00:00,2.903608E+002,1.086479E+002,1.797874E+002,1.925529E+000,3.817634E+003,2.857117E+003,4.826694E+003,2.461836E+003
53,04/09/14 10:01:00,04/09/14 11:00:00,3.475224E+002,1.343334E+002,2.116120E+002,1.577059E+000,4.569188E+003,3.532570E+003,5.681080E+003,2.016309E+003
54,04/09/14 10:01:00,04/09/14 11:00:00,7.582154E+000,4.769855E+000,0.000000E+000,2.812299E+000,9.968937E+001,1.254331E+002,0.000000E+000,3.595594E+003
55,04/09/14 10:01:00,04/09/14 11:00:00,1.701733E+001,1.432032E+001,0.000000E+000,2.697010E+000,2.237421E+002,3.765821E+002,0.000000E+000,3.448193E+003
56,04/09/14 10:01:00,04/09/14 11:00:00,4.474251E+001,3.761530E+001,4.558377E+000,2.568839E+000,5.882698E+002,9.891710E+002,1.223773E+002,3.284323E+003
57,04/09/14 10:01:00,04/09/14 11:00:00,1.600927E+002,6.882557E+001,8.890968E+001,2.357461E+000,2.104882E+003,1.809909E+003,2.386930E+003,3.014072E+003
58,04/09/14 10:01:00,04/09/14 11:00:00,2.376615E+002,9.398273E+001,1.415519E+002,2.126873E+000,3.124749E+003,2.471468E+003,3.800198E+003,2.719260E+003
59,04/09/14 10:01:00,04/09/14 11:00:00,2.822516E+002,1.118533E+002,1.684979E+002,1.900352E+000,3.711014E+003,2.941411E+003,4.523609E+003,2.429647E+003
60,04/09/14 10:01:00,04/09/14 11:00:00,1.494373E+001,1.215168E+001,0.000000E+000,2.792056E+000,1.964786E+002,3.195531E+002,0.000000E+000,3.569712E+003
61,04/09/14 10:01:00,04/09/14 11:00:00,1.392800E+001,1.120145E+001,0.000000E+000,2.726551E+000,1.831238E+002,2.945649E+002,0.000000E+000,3.485962E+003
62,04/09/14 10:01:00,04/09/14 11:00:00,3.192200E+001,2.929694E+001,0.000000E+000,2.625063E+000,4.197072E+002,7.704229E+002,0.000000E+000,3.356208E+003
63,04/09/14 10:01:00,04/09/14 11:00:00,8.532166E+001,5.845495E+001,2.446501E+001,2.401697E+000,1.121800E+003,1.537192E+003,6.568042E+002,3.070629E+003
64,04/09/14 10:01:00,04/09/14 11:00:00,1.865121E+002,8.472796E+001,9.960029E+001,2.183896E+000,2.452242E+003,2.228095E+003,2.673937E+003,2.792165E+003
65,04/09/14 10:01:00,04/09/14 11:00:00,3.007243E+002,1.251374E+002,1.738903E+002,1.696721E+000,3.953892E+003,3.290742E+003,4.668376E+003,2.169300E+003
66,04/09/14 10:01:00,04/09/14 11:00:00,7.356349E+001,7.107672E+001,0.000000E+000,2.486771E+000,9.672051E+002,1.869107E+003,0.000000E+000,3.179398E+003
67,04/09/14 10:01:00,04/09/14 11:00:00,6.534361E+001,6.280391E+001,0.000000E+000,2.539701E+000,8.591309E+002,1.651557E+003,0.000000E+000,3.247070E+003
68,04/09/14 10:01:00,04/09/14 11:00:00,7.158904E+001,6.914914E+001,0.000000E+000,2.439896E+000,9.412452E+002,1.818418E+003,0.000000E+000,3.119468E+003
69,04/09/14 10:01:00,04/09/14 11:00:00,1.254134E+002,9.540790E+001,2.786803E+001,2.137495E+000,1.648922E+003,2.508946E+003,7.481641E+002,2.732840E+003
70,04/09/14 10:01:00,04/09/14 11:00:00,2.208362E+002,1.128149E+002,1.061413E+002,1.879881E+000,2.903531E+003,2.966699E+003,2.849542E+003,2.403475E+003
71,04/09/14 10:01:00,04/09/14 11:00:00,3.318197E+002,1.377138E+002,1.926171E+002,1.488909E+000,4.362731E+003,3.621465E+003,5.171128E+003,1.903608E+003
72,04/09/14 10:01:00,04/09/14 11:00:00,1.530877E+002,1.517927E+002,0.000000E+000,1.294988E+000,2.012781E+003,3.991699E+003,0.000000E+000,1.655674E+003
