Vertex Num,Start Time,End Time,Total Intensity Received [J/m2],Diffuse Intensity Received [J/m2],Direct Intensity Received [J/m2],Reflected Intensity Received [J/m2],Total Intensity Received [%ambiant],Diffuse Intensity Received [%ambiant],Direct Intensity Received [%ambiant],Reflected Intensity Received [%ambiant]
33,07/05/17 08:00:00,07/05/17 12:00:00,2.531832E+003,1.780715E+003,7.507037E+002,4.128858E-001,7.801896E+001,8.868986E+001,6.085105E+001,1.123576E+001
34,07/05/17 08:00:00,07/05/17 12:00:00,2.048483E+003,1.634918E+003,4.128925E+002,6.721694E-001,6.312446E+001,8.142833E+001,3.346852E+001,1.829158E+001
35,07/05/17 08:00:00,07/05/17 12:00:00,1.485399E+003,1.422886E+003,6.147323E+001,1.040418E+000,4.577292E+001,7.086789E+001,4.982939E+000,2.831265E+001
36,07/05/17 08:00:00,07/05/17 12:00:00,2.809730E+003,1.816711E+003,9.926708E+002,3.485281E-001,8.658247E+001,9.048266E+001,8.046459E+001,9.484410E+000
37,07/05/17 08:00:00,07/05/17 12:00:00,3.019856E+003,1.927921E+003,1.091789E+003,1.453774E-001,9.305754E+001,9.602157E+001,8.849901E+001,3.956119E+000
38,07/05/17 08:00:00,07/05/17 12:00:00,2.887507E+003,1.953260E+003,9.341477E+002,9.888995E-002,8.897918E+001,9.728360E+001,7.572078E+001,2.691068E+000
39,07/05/17 08:00:00,07/05/17 12:00:00,2.493818E+003,1.849139E+003,6.443911E+002,2.888689E-001,7.684757E+001,9.209773E+001,5.223349E+001,7.860921E+000
40,07/05/17 08:00:00,07/05/17 12:00:00,2.063725E+003,1.692368E+003,3.707882E+002,5.687131E-001,6.359414E+001,8.428965E+001,3.005560E+001,1.547625E+001
41,07/05/17 08:00:00,07/05/17 12:00:00,1.451158E+003,1.430046E+003,2.008655E+001,1.025293E+000,4.471777E+001,7.122453E+001,1.628189E+000,2.790104E+001
42,07/05/17 08:00:00,07/05/17 12:00:00,1.332205E+003,1.246660E+003,8.424930E+001,1.295448E+000,4.105219E+001,6.209084E+001,6.829137E+000,3.525273E+001
43,07/05/17 08:00:00,07/05/17 12:00:00,1.609718E+003,1.423974E+003,1.847139E+002,1.030780E+000,4.960383E+001,7.092207E+001,1.497266E+001,2.805037E+001
44,07/05/17 08:00:00,07/05/17 12:00:00,1.758163E+003,1.557171E+003,2.001733E+002,8.181154E-001,5.417818E+001,7.755608E+001,1.622578E+001,2.226318E+001
45,07/05/17 08:00:00,07/05/17 12:00:00,1.518212E+003,1.470794E+003,4.645558E+001,9.619170E-001,4.678404E+001,7.325401E+001,3.765628E+000,2.617642E+001
